"","SERIALNO","AGEP","COW","JWRIP","JWTR","HINCP","atransit","bus","SC","subway","rail","bike","home"
"131",5763,24,1,0,4,1365000,1,0,0,1,0,0,0
"132",5853,42,3,1,1,178000,0,0,0,0,0,0,0
"133",5853,37,2,1,1,178000,0,0,0,0,0,0,0
"134",6186,41,3,1,1,82300,0,0,0,0,0,0,0
"135",6186,43,1,1,1,82300,0,0,0,0,0,0,0
"136",6210,59,6,1,1,210300,0,0,0,0,0,0,0
"137",6210,58,2,1,1,210300,0,0,0,0,0,0,0
"138",6218,42,1,1,1,85000,0,0,0,0,0,0,0
"139",6218,56,6,0,11,85000,1,0,0,0,0,0,1
"140",6320,56,1,1,1,119600,0,0,0,0,0,0,0
"141",6320,51,1,1,1,119600,0,0,0,0,0,0,0
"142",6320,26,1,1,1,119600,0,0,0,0,0,0,0
"144",6389,57,1,1,1,14000,0,0,0,0,0,0,0
"145",6403,45,4,0,10,23200,0,0,0,0,0,0,0
"146",6613,48,1,1,1,281000,0,0,0,0,0,0,0
"147",6613,43,6,1,1,281000,0,0,0,0,0,0,0
"150",7032,62,4,1,1,65000,0,0,0,0,0,0,0
"151",7078,53,1,1,1,181000,0,0,0,0,0,0,0
"152",7078,48,1,1,1,181000,0,0,0,0,0,0,0
"153",7100,55,1,1,1,107200,0,0,0,0,0,0,0
"154",7210,65,1,1,1,92240,0,0,0,0,0,0,0
"155",7489,30,1,0,2,67700,1,1,0,0,0,0,0
"156",7489,27,1,0,2,67700,1,1,0,0,0,0,0
"157",7515,36,7,0,11,149400,1,0,0,0,0,0,1
"158",7515,41,7,1,1,149400,0,0,0,0,0,0,0
"159",7562,59,5,1,1,100900,0,0,0,0,0,0,0
"161",7659,47,1,1,1,125000,0,0,0,0,0,0,0
"162",7659,41,6,0,10,125000,0,0,0,0,0,0,0
"164",7696,34,1,1,1,110800,0,0,0,0,0,0,0
"165",7720,32,6,0,4,155000,1,0,0,1,0,0,0
"166",7720,31,7,0,4,155000,1,0,0,1,0,0,0
"168",7791,55,1,1,1,74500,0,0,0,0,0,0,0
"169",7805,35,3,1,1,174000,0,0,0,0,0,0,0
"170",7805,33,1,1,1,174000,0,0,0,0,0,0,0
"172",7935,55,4,1,1,68000,0,0,0,0,0,0,0
"173",8056,52,1,1,1,286000,0,0,0,0,0,0,0
"174",8056,57,1,1,1,286000,0,0,0,0,0,0,0
"175",8090,61,6,1,1,113200,0,0,0,0,0,0,0
"176",8229,45,6,0,11,50000,1,0,0,0,0,0,1
"178",8463,51,1,1,1,43800,0,0,0,0,0,0,0
"179",8463,23,1,0,2,43800,1,1,0,0,0,0,0
"180",8478,35,1,0,4,120100,1,0,0,1,0,0,0
"181",8527,62,6,0,11,161700,1,0,0,0,0,0,1
"182",8527,59,1,1,1,161700,0,0,0,0,0,0,0
"184",8527,27,1,0,9,161700,1,0,0,0,0,1,0
"185",8596,38,3,1,1,103000,0,0,0,0,0,0,0
"187",8832,49,5,0,10,173000,0,0,0,0,0,0,0
"188",8832,47,5,0,10,173000,0,0,0,0,0,0,0
"189",8935,36,5,1,1,525600,0,0,0,0,0,0,0
"190",8935,41,1,1,1,525600,0,0,0,0,0,0,0
"191",8939,56,2,1,1,46050,0,0,0,0,0,0,0
"192",9030,44,4,1,1,185500,0,0,0,0,0,0,0
"193",9144,42,1,0,4,135000,1,0,0,1,0,0,0
"194",9144,45,6,0,4,135000,1,0,0,1,0,0,0
"195",9186,58,1,1,1,109400,0,0,0,0,0,0,0
"196",9197,58,6,0,7,80000,0,0,0,0,0,0,0
"197",9408,37,2,1,1,226000,0,0,0,0,0,0,0
"198",9408,36,1,0,2,226000,1,1,0,0,0,0,0
"200",9570,30,1,1,1,302000,0,0,0,0,0,0,0
"203",9709,52,1,1,1,180000,0,0,0,0,0,0,0
"204",9709,53,1,1,1,180000,0,0,0,0,0,0,0
"205",9810,39,7,0,11,386720,1,0,0,0,0,0,1
"206",9810,39,7,0,11,386720,1,0,0,0,0,0,1
"207",9856,27,1,1,1,65000,0,0,0,0,0,0,0
"208",9856,23,1,1,1,65000,0,0,0,0,0,0,0
"209",9871,34,1,1,1,55000,0,0,0,0,0,0,0
"212",9992,36,2,1,1,119000,0,0,0,0,0,0,0
"213",10094,39,1,1,1,3600,0,0,0,0,0,0,0
"214",10162,35,1,1,1,23800,0,0,0,0,0,0,0
"215",10162,38,1,1,1,23800,0,0,0,0,0,0,0
"216",10251,61,1,1,1,465000,0,0,0,0,0,0,0
"218",10372,28,1,0,5,130000,1,0,0,0,1,0,0
"219",10379,32,1,1,1,18000,0,0,0,0,0,0,0
"221",10435,32,1,1,1,216600,0,0,0,0,0,0,0
"223",10605,37,1,1,1,74100,0,0,0,0,0,0,0
"224",10679,65,6,1,1,37900,0,0,0,0,0,0,0
"225",10732,44,3,1,1,101200,0,0,0,0,0,0,0
"226",10732,52,1,1,1,101200,0,0,0,0,0,0,0
"227",10732,27,1,1,1,101200,0,0,0,0,0,0,0
"228",10751,25,1,1,1,24300,0,0,0,0,0,0,0
"230",10772,39,4,0,11,27500,1,0,0,0,0,0,1
"231",10800,32,1,1,1,95000,0,0,0,0,0,0,0
"232",10809,28,5,1,1,53000,0,0,0,0,0,0,0
"233",10887,33,6,1,1,8000,0,0,0,0,0,0,0
"234",10977,24,6,1,1,12000,0,0,0,0,0,0,0
