"","SERIALNO","AGEP","COW","JWRIP","JWTR","HINCP","atransit","bus","SC","subway","rail","bike","home"
"5371",214905,34,1,1,1,42600,0,0,0,0,0,0,0
"5374",215161,47,1,1,1,224000,0,0,0,0,0,0,0
"5375",215203,55,1,1,1,174900,0,0,0,0,0,0,0
"5376",215207,31,2,1,1,73000,0,0,0,0,0,0,0
"5377",215207,25,1,1,1,73000,0,0,0,0,0,0,0
"5382",215497,28,1,1,1,66000,0,0,0,0,0,0,0
"5383",215497,40,6,1,1,66000,0,0,0,0,0,0,0
"5385",215667,32,1,1,1,164000,0,0,0,0,0,0,0
"5387",215710,33,1,1,1,65000,0,0,0,0,0,0,0
"5388",215710,30,5,1,1,65000,0,0,0,0,0,0,0
"5389",215738,63,6,0,10,180000,0,0,0,0,0,0,0
"5390",215763,47,1,1,1,39800,0,0,0,0,0,0,0
"5392",215774,53,6,0,11,41500,1,0,0,0,0,0,1
"5394",215775,45,1,1,1,112000,0,0,0,0,0,0,0
"5396",215811,50,5,1,1,208300,0,0,0,0,0,0,0
"5397",215811,50,1,1,1,208300,0,0,0,0,0,0,0
"5398",215865,60,6,1,1,25900,0,0,0,0,0,0,0
"5399",215951,51,6,1,1,70020,0,0,0,0,0,0,0
"5401",215964,46,6,0,11,5300,1,0,0,0,0,0,1
"5402",215990,50,3,1,1,132300,0,0,0,0,0,0,0
"5403",215990,49,1,1,1,132300,0,0,0,0,0,0,0
"5404",216013,25,1,1,1,60000,0,0,0,0,0,0,0
"5405",216044,30,1,0,9,110000,1,0,0,0,0,1,0
"5407",216048,50,2,1,1,95100,0,0,0,0,0,0,0
"5408",216048,49,1,1,1,95100,0,0,0,0,0,0,0
"5410",216055,36,1,1,1,578000,0,0,0,0,0,0,0
"5411",216136,65,2,1,1,190000,0,0,0,0,0,0,0
"5413",216253,51,7,1,1,310900,0,0,0,0,0,0,0
"5415",216312,32,1,1,1,139000,0,0,0,0,0,0,0
"5417",216397,26,3,1,1,65000,0,0,0,0,0,0,0
"5418",216431,45,6,1,1,130100,0,0,0,0,0,0,0
"5421",216463,56,6,0,11,107700,1,0,0,0,0,0,1
"5422",216488,64,1,1,1,166000,0,0,0,0,0,0,0
"5424",216605,38,1,0,9,100000,1,0,0,0,0,1,0
"5425",216807,56,6,1,1,12000,0,0,0,0,0,0,0
"5426",216923,27,5,1,1,89000,0,0,0,0,0,0,0
"5427",216932,34,5,1,1,61300,0,0,0,0,0,0,0
"5428",216932,38,1,1,1,61300,0,0,0,0,0,0,0
"5429",216983,65,1,0,11,156000,1,0,0,0,0,0,1
"5430",217021,46,5,1,1,215380,0,0,0,0,0,0,0
"5431",217021,45,1,1,1,215380,0,0,0,0,0,0,0
"5433",217026,48,2,1,1,134000,0,0,0,0,0,0,0
"5434",217026,44,2,1,1,134000,0,0,0,0,0,0,0
"5437",217219,51,1,0,4,30000,1,0,0,1,0,0,0
"5438",217219,50,1,1,1,30000,0,0,0,0,0,0,0
"5439",217232,43,1,1,1,75000,0,0,0,0,0,0,0
"5440",217333,32,1,1,1,161000,0,0,0,0,0,0,0
"5441",217352,46,6,1,1,188000,0,0,0,0,0,0,0
"5442",217352,45,1,0,4,188000,1,0,0,1,0,0,0
"5444",217448,61,1,1,1,104980,0,0,0,0,0,0,0
"5445",217448,55,3,1,1,104980,0,0,0,0,0,0,0
"5446",217457,57,1,1,1,98300,0,0,0,0,0,0,0
"5448",217610,42,1,1,1,129500,0,0,0,0,0,0,0
"5449",217610,41,1,1,1,129500,0,0,0,0,0,0,0
"5453",217935,31,1,1,1,115000,0,0,0,0,0,0,0
"5454",217999,29,1,1,1,85000,0,0,0,0,0,0,0
"5457",218106,59,1,1,1,143300,0,0,0,0,0,0,0
"5458",218125,31,1,0,2,95010,1,1,0,0,0,0,0
"5462",218388,43,1,1,1,85000,0,0,0,0,0,0,0
"5463",218495,31,1,0,5,75700,1,0,0,0,1,0,0
"5464",218495,29,1,1,1,75700,0,0,0,0,0,0,0
"5465",218517,62,1,1,1,50000,0,0,0,0,0,0,0
"5466",218552,48,1,1,1,137200,0,0,0,0,0,0,0
"5467",218664,40,1,1,1,150000,0,0,0,0,0,0,0
"5469",218838,45,1,1,1,60000,0,0,0,0,0,0,0
"5470",218844,60,1,1,1,71280,0,0,0,0,0,0,0
"5471",218940,32,1,1,1,370000,0,0,0,0,0,0,0
"5472",218940,31,6,0,11,370000,1,0,0,0,0,0,1
"5473",218986,41,1,0,4,252500,1,0,0,1,0,0,0
"5474",219141,26,1,1,1,19000,0,0,0,0,0,0,0
"5475",219195,30,1,0,5,180000,1,0,0,0,1,0,0
"5476",219195,30,1,0,5,180000,1,0,0,0,1,0,0
"5477",219205,30,1,0,4,80000,1,0,0,1,0,0,0
"5478",219250,42,1,1,1,655000,0,0,0,0,0,0,0
"5479",219250,41,1,1,1,655000,0,0,0,0,0,0,0
"5481",219476,32,1,1,1,162200,0,0,0,0,0,0,0
"5482",219476,30,1,1,1,162200,0,0,0,0,0,0,0
"5483",219526,52,7,1,1,148900,0,0,0,0,0,0,0
"5484",219690,58,6,0,11,641000,1,0,0,0,0,0,1
"5485",219878,32,4,1,1,34800,0,0,0,0,0,0,0
"5488",220005,31,1,1,1,48000,0,0,0,0,0,0,0
"5490",220075,23,1,1,1,8500,0,0,0,0,0,0,0
"5491",220106,54,1,1,1,112000,0,0,0,0,0,0,0
"5492",220106,54,1,1,1,112000,0,0,0,0,0,0,0
"5495",220262,55,1,1,1,330000,0,0,0,0,0,0,0
"5496",220262,39,1,1,1,330000,0,0,0,0,0,0,0
"5497",220352,62,1,1,1,169000,0,0,0,0,0,0,0
"5498",220352,60,2,1,1,169000,0,0,0,0,0,0,0
"5499",220443,28,1,0,11,25000,1,0,0,0,0,0,1
"5501",220446,44,1,1,1,100500,0,0,0,0,0,0,0
"5502",220499,39,1,0,4,135100,1,0,0,1,0,0,0
"5504",220564,34,1,0,9,161010,1,0,0,0,0,1,0
"5505",220564,33,1,0,11,161010,1,0,0,0,0,0,1
"5506",220570,48,1,1,1,251000,0,0,0,0,0,0,0
"5507",220570,31,1,0,2,251000,1,1,0,0,0,0,0
"5508",220621,48,1,1,1,145000,0,0,0,0,0,0,0
"5509",220621,60,1,1,1,145000,0,0,0,0,0,0,0
"5510",220701,57,2,1,1,102000,0,0,0,0,0,0,0
"5511",220723,38,1,0,5,230200,1,0,0,0,1,0,0
"5512",220723,33,1,1,1,230200,0,0,0,0,0,0,0
"5513",220880,56,6,1,1,18200,0,0,0,0,0,0,0
"5514",220880,24,1,1,1,18200,0,0,0,0,0,0,0
"5515",220880,58,1,1,1,18200,0,0,0,0,0,0,0
"5517",221079,45,6,1,1,40000,0,0,0,0,0,0,0
"5518",221079,25,1,0,4,40000,1,0,0,1,0,0,0
"5519",221079,23,1,0,2,40000,1,1,0,0,0,0,0
"5522",221138,58,6,1,1,132900,0,0,0,0,0,0,0
"5524",221404,40,1,0,4,59100,1,0,0,1,0,0,0
"5525",221447,50,1,1,1,475004,0,0,0,0,0,0,0
"5526",221447,50,7,1,1,475004,0,0,0,0,0,0,0
"5527",221657,43,1,1,1,196730,0,0,0,0,0,0,0
"5530",221902,47,1,0,4,150000,1,0,0,1,0,0,0
"5531",222010,62,1,1,1,204400,0,0,0,0,0,0,0
"5532",222010,57,6,0,11,204400,1,0,0,0,0,0,1
"5533",222010,25,1,1,1,204400,0,0,0,0,0,0,0
"5537",222163,41,1,1,1,113400,0,0,0,0,0,0,0
"5538",222163,42,1,1,1,113400,0,0,0,0,0,0,0
"5539",222177,57,6,1,1,25400,0,0,0,0,0,0,0
"5540",222276,37,6,1,1,43000,0,0,0,0,0,0,0
"5541",222299,53,1,1,1,30600,0,0,0,0,0,0,0
"5542",222482,58,6,1,1,39500,0,0,0,0,0,0,0
"5543",222482,62,1,1,1,39500,0,0,0,0,0,0,0
"5544",222571,58,6,1,1,15570,0,0,0,0,0,0,0
"5545",222653,62,6,0,11,306900,1,0,0,0,0,0,1
"5546",222653,25,1,0,2,306900,1,1,0,0,0,0,0
"5547",222717,42,3,1,1,70000,0,0,0,0,0,0,0
"5548",222820,41,1,1,1,156450,0,0,0,0,0,0,0
"5549",222820,45,1,1,1,156450,0,0,0,0,0,0,0
"5550",222856,42,4,1,1,61000,0,0,0,0,0,0,0
"5551",222919,26,1,0,2,21000,1,1,0,0,0,0,0
"5552",222919,45,1,0,2,21000,1,1,0,0,0,0,0
"5553",222933,24,1,1,1,69000,0,0,0,0,0,0,0
"5554",222969,52,6,1,1,65700,0,0,0,0,0,0,0
"5555",222969,45,6,1,1,65700,0,0,0,0,0,0,0
"5556",223212,43,2,0,11,259000,1,0,0,0,0,0,1
"5557",223212,42,2,1,1,259000,0,0,0,0,0,0,0
"5559",223213,54,1,1,1,81000,0,0,0,0,0,0,0
"5561",223263,45,1,1,1,437000,0,0,0,0,0,0,0
"5562",223301,35,5,1,1,98000,0,0,0,0,0,0,0
"5564",223571,64,1,1,1,155000,0,0,0,0,0,0,0
"5566",223681,62,1,1,1,108030,0,0,0,0,0,0,0
"5567",223712,39,1,1,1,474000,0,0,0,0,0,0,0
"5568",223767,40,4,1,1,140400,0,0,0,0,0,0,0
"5569",223767,53,4,1,1,140400,0,0,0,0,0,0,0
"5570",223804,28,1,0,4,295000,1,0,0,1,0,0,0
"5571",223804,32,1,0,11,295000,1,0,0,0,0,0,1
"5573",224074,55,2,1,1,646050,0,0,0,0,0,0,0
"5574",224074,58,1,1,1,646050,0,0,0,0,0,0,0
"5576",224074,30,3,1,1,646050,0,0,0,0,0,0,0
"5579",224108,25,1,0,10,45900,0,0,0,0,0,0,0
"5581",224201,33,1,1,1,97500,0,0,0,0,0,0,0
"5582",224201,52,1,0,12,97500,0,0,0,0,0,0,0
"5583",224231,54,1,1,1,62000,0,0,0,0,0,0,0
"5584",224253,50,4,1,1,46000,0,0,0,0,0,0,0
"5586",224286,59,3,1,1,101000,0,0,0,0,0,0,0
"5587",224341,64,1,1,1,180000,0,0,0,0,0,0,0
"5588",224370,49,1,1,1,52800,0,0,0,0,0,0,0
"5589",224370,24,1,1,1,52800,0,0,0,0,0,0,0
"5591",224417,55,4,1,1,51900,0,0,0,0,0,0,0
"5594",224695,64,2,0,11,113020,1,0,0,0,0,0,1
"5595",224732,37,3,1,1,60000,0,0,0,0,0,0,0
"5596",224739,52,2,1,1,175000,0,0,0,0,0,0,0
"5597",224739,54,1,1,1,175000,0,0,0,0,0,0,0
"5598",224804,30,1,0,9,21000,1,0,0,0,0,1,0
"5599",224839,43,4,1,1,36000,0,0,0,0,0,0,0
"5600",224839,44,1,0,2,36000,1,1,0,0,0,0,0
"5601",224859,55,1,1,1,310000,0,0,0,0,0,0,0
"5602",224859,53,1,1,1,310000,0,0,0,0,0,0,0
"5603",224892,59,1,1,1,193700,0,0,0,0,0,0,0
"5604",224892,54,1,1,1,193700,0,0,0,0,0,0,0
"5605",224916,57,1,1,1,350000,0,0,0,0,0,0,0
"5606",224980,47,2,0,11,52500,1,0,0,0,0,0,1
"5607",225061,36,1,0,2,85000,1,1,0,0,0,0,0
"5608",225153,42,1,1,1,130000,0,0,0,0,0,0,0
"5609",225189,48,7,1,1,45600,0,0,0,0,0,0,0
"5610",225189,41,1,1,1,45600,0,0,0,0,0,0,0
"5612",225293,36,1,1,1,109500,0,0,0,0,0,0,0
"5615",225529,29,7,0,11,47000,1,0,0,0,0,0,1
"5616",225538,42,1,1,1,85800,0,0,0,0,0,0,0
"5617",225675,23,3,0,9,17500,1,0,0,0,0,1,0
"5618",225786,29,1,0,11,802000,1,0,0,0,0,0,1
"5619",225786,34,7,1,1,802000,0,0,0,0,0,0,0
"5620",225793,41,1,0,4,188000,1,0,0,1,0,0,0
"5622",225870,56,6,1,1,22400,0,0,0,0,0,0,0
"5623",225870,58,6,1,1,22400,0,0,0,0,0,0,0
"5624",225956,38,1,1,1,290000,0,0,0,0,0,0,0
"5625",225956,36,1,1,1,290000,0,0,0,0,0,0,0
"5626",225997,44,1,1,1,102000,0,0,0,0,0,0,0
"5627",225997,51,1,1,1,102000,0,0,0,0,0,0,0
"5628",226045,49,1,1,1,212500,0,0,0,0,0,0,0
"5629",226055,40,7,0,11,182000,1,0,0,0,0,0,1
"5630",226055,46,1,1,1,182000,0,0,0,0,0,0,0
"5631",226093,27,1,0,11,21900,1,0,0,0,0,0,1
"5632",226161,58,3,1,1,124000,0,0,0,0,0,0,0
"5633",226178,48,1,1,1,175300,0,0,0,0,0,0,0
"5634",226178,45,1,1,1,175300,0,0,0,0,0,0,0
"5636",226208,44,6,1,1,22900,0,0,0,0,0,0,0
"5637",226239,29,1,1,1,157000,0,0,0,0,0,0,0
"5638",226239,29,1,0,2,157000,1,1,0,0,0,0,0
"5639",226408,52,2,0,2,39000,1,1,0,0,0,0,0
"5640",226408,25,1,1,1,39000,0,0,0,0,0,0,0
"5642",226513,54,1,1,1,73500,0,0,0,0,0,0,0
"5643",226571,47,3,1,1,40000,0,0,0,0,0,0,0
"5644",226812,47,1,1,1,165000,0,0,0,0,0,0,0
"5646",226840,63,6,0,11,-4000,1,0,0,0,0,0,1
"5647",226919,38,2,0,10,57000,0,0,0,0,0,0,0
"5648",226919,34,7,1,1,57000,0,0,0,0,0,0,0
"5649",227267,53,1,1,1,146500,0,0,0,0,0,0,0
"5650",227267,47,1,1,1,146500,0,0,0,0,0,0,0
"5652",227282,53,4,1,1,70730,0,0,0,0,0,0,0
"5654",227394,45,2,1,1,96000,0,0,0,0,0,0,0
"5656",227536,28,5,1,1,33000,0,0,0,0,0,0,0
"5657",227593,38,1,1,1,85700,0,0,0,0,0,0,0
"5658",227593,46,1,1,1,85700,0,0,0,0,0,0,0
"5659",227717,34,1,0,10,153500,0,0,0,0,0,0,0
"5661",227761,24,4,0,9,475000,1,0,0,0,0,1,0
"5662",227761,25,1,1,1,475000,0,0,0,0,0,0,0
"5664",227810,38,1,1,1,168800,0,0,0,0,0,0,0
"5667",227851,48,1,1,1,31300,0,0,0,0,0,0,0
"5668",227891,42,1,1,1,216200,0,0,0,0,0,0,0
"5669",227891,51,1,1,1,216200,0,0,0,0,0,0,0
"5670",227892,40,1,1,1,178000,0,0,0,0,0,0,0
"5671",227892,33,1,1,1,178000,0,0,0,0,0,0,0
"5672",227892,57,1,1,1,178000,0,0,0,0,0,0,0
"5673",227906,45,1,1,1,73000,0,0,0,0,0,0,0
"5674",227968,51,2,0,10,104000,0,0,0,0,0,0,0
"5675",228098,41,1,1,1,117000,0,0,0,0,0,0,0
"5676",228098,45,1,1,1,117000,0,0,0,0,0,0,0
"5677",228232,25,1,0,4,105000,1,0,0,1,0,0,0
"5678",228232,23,1,0,9,105000,1,0,0,0,0,1,0
"5679",228232,23,1,0,4,105000,1,0,0,1,0,0,0
"5680",228252,34,1,1,1,40000,0,0,0,0,0,0,0
"5682",228254,51,1,1,1,170000,0,0,0,0,0,0,0
"5684",228378,31,1,1,1,109100,0,0,0,0,0,0,0
"5685",228382,48,6,0,11,24000,1,0,0,0,0,0,1
"5686",228395,40,1,0,9,170000,1,0,0,0,0,1,0
"5687",228453,64,3,1,1,86400,0,0,0,0,0,0,0
"5688",228453,27,3,1,1,86400,0,0,0,0,0,0,0
"5689",228463,38,1,1,1,151754,0,0,0,0,0,0,0
"5690",228463,36,1,1,1,151754,0,0,0,0,0,0,0
"5692",228621,32,1,0,10,57500,0,0,0,0,0,0,0
"5693",228687,48,1,1,1,91800,0,0,0,0,0,0,0
"5694",228768,32,1,1,1,34900,0,0,0,0,0,0,0
"5695",228818,49,1,1,1,458800,0,0,0,0,0,0,0
"5697",228843,44,1,1,1,104000,0,0,0,0,0,0,0
"5698",228843,44,1,1,1,104000,0,0,0,0,0,0,0
"5699",228909,59,7,0,11,97240,1,0,0,0,0,0,1
"5701",228913,31,3,0,4,70600,1,0,0,1,0,0,0
"5702",228929,53,1,1,1,283200,0,0,0,0,0,0,0
"5703",228929,43,1,1,1,283200,0,0,0,0,0,0,0
"5704",228949,29,2,0,5,250000,1,0,0,0,1,0,0
"5705",228949,30,1,1,1,250000,0,0,0,0,0,0,0
"5706",228951,55,1,1,1,105200,0,0,0,0,0,0,0
"5707",228951,62,1,1,1,105200,0,0,0,0,0,0,0
"5708",229099,46,1,1,1,100000,0,0,0,0,0,0,0
"5709",229142,49,1,0,4,218900,1,0,0,1,0,0,0
"5710",229142,44,1,1,1,218900,0,0,0,0,0,0,0
"5711",229156,32,1,0,4,131000,1,0,0,1,0,0,0
"5712",229156,31,1,1,1,131000,0,0,0,0,0,0,0
"5714",229264,32,7,0,11,107200,1,0,0,0,0,0,1
"5720",229473,29,1,1,1,90000,0,0,0,0,0,0,0
"5721",229473,31,1,0,4,90000,1,0,0,1,0,0,0
"5724",229634,63,2,1,1,126450,0,0,0,0,0,0,0
"5725",229634,40,1,1,1,126450,0,0,0,0,0,0,0
"5728",229707,35,3,1,1,57980,0,0,0,0,0,0,0
"5729",229720,47,3,1,1,60000,0,0,0,0,0,0,0
"5730",229776,41,1,1,1,87000,0,0,0,0,0,0,0
"5731",229776,49,1,1,1,87000,0,0,0,0,0,0,0
"5732",229776,23,1,1,1,87000,0,0,0,0,0,0,0
"5735",229893,41,1,1,1,100200,0,0,0,0,0,0,0
"5738",230176,43,5,1,1,110000,0,0,0,0,0,0,0
"5740",230201,54,4,1,1,81000,0,0,0,0,0,0,0
"5741",230201,56,1,0,10,81000,0,0,0,0,0,0,0
"5742",230222,35,3,1,1,90400,0,0,0,0,0,0,0
"5743",230396,63,6,0,11,269400,1,0,0,0,0,0,1
"5746",230594,28,1,1,1,12200,0,0,0,0,0,0,0
"5748",230666,63,1,1,1,310460,0,0,0,0,0,0,0
"5749",230666,56,1,1,1,310460,0,0,0,0,0,0,0
"5750",230666,56,1,0,4,310460,1,0,0,1,0,0,0
"5751",230666,53,1,1,1,310460,0,0,0,0,0,0,0
"5752",230666,49,1,1,1,310460,0,0,0,0,0,0,0
"5753",230666,29,1,1,1,310460,0,0,0,0,0,0,0
"5757",230845,46,6,0,2,141190,1,1,0,0,0,0,0
"5758",230845,27,1,0,4,141190,1,0,0,1,0,0,0
"5759",230845,24,1,0,2,141190,1,1,0,0,0,0,0
"5760",230845,50,1,1,1,141190,0,0,0,0,0,0,0
"5761",230845,49,3,0,2,141190,1,1,0,0,0,0,0
"5763",230902,60,1,1,1,23000,0,0,0,0,0,0,0
"5765",230955,57,2,1,1,274000,0,0,0,0,0,0,0
"5766",230955,27,1,1,1,274000,0,0,0,0,0,0,0
"5767",230955,23,1,1,1,274000,0,0,0,0,0,0,0
"5768",231067,43,1,1,1,260000,0,0,0,0,0,0,0
"5769",231067,44,1,1,1,260000,0,0,0,0,0,0,0
"5770",231102,33,1,1,1,34200,0,0,0,0,0,0,0
"5772",231143,37,6,1,1,115000,0,0,0,0,0,0,0
"5773",231143,35,2,1,1,115000,0,0,0,0,0,0,0
"5775",231187,58,1,1,1,121200,0,0,0,0,0,0,0
"5776",231187,58,2,1,1,121200,0,0,0,0,0,0,0
"5778",231251,39,1,1,1,203300,0,0,0,0,0,0,0
"5781",231322,61,6,0,11,211200,1,0,0,0,0,0,1
"5783",231424,40,1,0,4,76200,1,0,0,1,0,0,0
"5784",231524,40,1,1,1,80000,0,0,0,0,0,0,0
"5785",231680,61,3,0,10,26000,0,0,0,0,0,0,0
"5786",231680,59,4,0,10,26000,0,0,0,0,0,0,0
"5787",231704,36,1,1,1,175000,0,0,0,0,0,0,0
"5788",231704,38,1,0,4,175000,1,0,0,1,0,0,0
"5790",231764,53,2,1,1,79000,0,0,0,0,0,0,0
"5792",231795,63,2,1,1,468310,0,0,0,0,0,0,0
"5793",231845,45,1,0,11,301000,1,0,0,0,0,0,1
"5794",231845,41,1,1,1,301000,0,0,0,0,0,0,0
"5795",231951,28,3,1,1,102000,0,0,0,0,0,0,0
"5796",231951,28,3,1,1,102000,0,0,0,0,0,0,0
"5797",232014,45,1,1,1,76000,0,0,0,0,0,0,0
"5799",232032,32,1,0,9,127000,1,0,0,0,0,1,0
"5803",232070,25,2,1,1,136000,0,0,0,0,0,0,0
"5807",232106,43,1,1,1,125500,0,0,0,0,0,0,0
"5809",232134,34,1,1,1,101800,0,0,0,0,0,0,0
"5810",232165,57,1,1,1,88100,0,0,0,0,0,0,0
"5811",232165,25,1,1,1,88100,0,0,0,0,0,0,0
"5813",232208,62,7,0,11,264000,1,0,0,0,0,0,1
"5814",232208,63,7,0,11,264000,1,0,0,0,0,0,1
"5815",232222,49,1,1,1,71600,0,0,0,0,0,0,0
"5816",232222,42,6,1,1,71600,0,0,0,0,0,0,0
"5817",232222,25,1,1,1,71600,0,0,0,0,0,0,0
"5818",232222,23,2,1,1,71600,0,0,0,0,0,0,0
"5819",232279,62,4,0,6,399330,0,0,0,0,0,0,0
"5820",232279,62,2,1,1,399330,0,0,0,0,0,0,0
"5822",232306,27,6,0,11,485800,1,0,0,0,0,0,1
"5824",232306,44,3,1,1,485800,0,0,0,0,0,0,0
"5825",232306,43,1,1,1,485800,0,0,0,0,0,0,0
"5826",232306,40,1,1,1,485800,0,0,0,0,0,0,0
"5827",232306,23,1,0,11,485800,1,0,0,0,0,0,1
"5828",232309,58,1,1,1,211100,0,0,0,0,0,0,0
"5829",232309,55,7,1,1,211100,0,0,0,0,0,0,0
"5830",232406,43,1,0,9,51000,1,0,0,0,0,1,0
"5832",232429,54,1,1,1,135800,0,0,0,0,0,0,0
"5837",232517,32,1,1,1,43800,0,0,0,0,0,0,0
"5838",232573,28,6,1,1,19500,0,0,0,0,0,0,0
"5839",232573,30,1,1,1,19500,0,0,0,0,0,0,0
"5840",232726,60,6,0,11,35300,1,0,0,0,0,0,1
"5841",232744,60,2,1,1,316900,0,0,0,0,0,0,0
"5842",232744,58,7,1,1,316900,0,0,0,0,0,0,0
"5843",232856,47,1,1,1,97000,0,0,0,0,0,0,0
"5844",232856,44,1,1,1,97000,0,0,0,0,0,0,0
"5845",232888,57,1,0,5,90000,1,0,0,0,1,0,0
"5846",233015,55,1,1,1,62000,0,0,0,0,0,0,0
"5847",233015,30,1,1,1,62000,0,0,0,0,0,0,0
"5848",233041,45,2,1,1,142000,0,0,0,0,0,0,0
"5849",233041,44,1,0,8,142000,0,0,0,0,0,0,0
"5850",233072,51,1,1,1,163600,0,0,0,0,0,0,0
"5851",233072,27,1,1,1,163600,0,0,0,0,0,0,0
"5852",233072,26,1,0,9,163600,1,0,0,0,0,1,0
"5853",233072,23,1,1,1,163600,0,0,0,0,0,0,0
"5854",233227,46,1,1,1,57000,0,0,0,0,0,0,0
"5855",233227,45,1,1,1,57000,0,0,0,0,0,0,0
"5857",233248,38,1,1,1,1030000,0,0,0,0,0,0,0
"5859",233325,48,1,1,1,14400,0,0,0,0,0,0,0
"5860",233477,47,4,0,4,115100,1,0,0,1,0,0,0
"5861",233477,41,1,0,2,115100,1,1,0,0,0,0,0
"5865",233601,35,1,1,1,266000,0,0,0,0,0,0,0
"5866",233601,34,1,1,1,266000,0,0,0,0,0,0,0
"5867",233610,44,1,0,4,231000,1,0,0,1,0,0,0
"5868",233742,63,3,1,1,94800,0,0,0,0,0,0,0
"5869",233742,31,1,1,1,94800,0,0,0,0,0,0,0
"5870",233833,42,1,1,1,185000,0,0,0,0,0,0,0
"5871",233833,42,5,1,1,185000,0,0,0,0,0,0,0
"5872",233868,26,1,0,4,455000,1,0,0,1,0,0,0
"5873",233875,34,1,0,2,213060,1,1,0,0,0,0,0
"5874",233875,33,1,0,2,213060,1,1,0,0,0,0,0
"5876",233919,53,1,1,1,84600,0,0,0,0,0,0,0
"5878",233919,24,1,0,9,84600,1,0,0,0,0,1,0
"5879",233962,52,1,0,9,350000,1,0,0,0,0,1,0
"5880",233962,55,1,1,1,350000,0,0,0,0,0,0,0
"5881",233962,24,1,0,5,350000,1,0,0,0,1,0,0
"5882",233962,23,1,1,1,350000,0,0,0,0,0,0,0
"5883",234064,45,1,1,1,81600,0,0,0,0,0,0,0
"5884",234126,41,1,1,1,198500,0,0,0,0,0,0,0
"5885",234126,33,2,1,1,198500,0,0,0,0,0,0,0
"5886",234126,30,1,1,1,198500,0,0,0,0,0,0,0
"5887",234162,45,1,1,1,85000,0,0,0,0,0,0,0
"5888",234191,27,1,1,1,82200,0,0,0,0,0,0,0
"5889",234246,64,1,1,1,93300,0,0,0,0,0,0,0
"5890",234246,61,6,0,11,93300,1,0,0,0,0,0,1
"5891",234358,41,2,0,9,73500,1,0,0,0,0,1,0
"5892",234429,39,3,0,4,30000,1,0,0,1,0,0,0
"5894",234474,65,1,1,1,133200,0,0,0,0,0,0,0
"5895",234544,40,1,1,1,137000,0,0,0,0,0,0,0
"5897",234785,32,1,1,1,142300,0,0,0,0,0,0,0
"5898",234836,40,6,1,1,70000,0,0,0,0,0,0,0
"5899",234836,34,6,1,1,70000,0,0,0,0,0,0,0
"5900",234924,49,1,1,1,30000,0,0,0,0,0,0,0
"5901",235009,30,1,0,4,202000,1,0,0,1,0,0,0
"5902",235009,33,1,1,1,202000,0,0,0,0,0,0,0
"5905",235164,47,1,1,1,42300,0,0,0,0,0,0,0
"5906",235189,26,3,1,1,116000,0,0,0,0,0,0,0
"5907",235189,26,1,1,1,116000,0,0,0,0,0,0,0
"5908",235189,25,1,1,1,116000,0,0,0,0,0,0,0
"5909",235253,40,1,0,8,140000,0,0,0,0,0,0,0
"5910",235272,47,1,0,5,194600,1,0,0,0,1,0,0
"5912",235521,54,1,1,1,455000,0,0,0,0,0,0,0
"5916",235786,39,1,1,1,60000,0,0,0,0,0,0,0
"5918",235869,40,1,0,12,183000,0,0,0,0,0,0,0
"5919",235989,49,1,1,1,117000,0,0,0,0,0,0,0
"5920",235989,45,6,1,1,117000,0,0,0,0,0,0,0
"5921",235989,30,1,0,9,117000,1,0,0,0,0,1,0
"5924",236108,61,1,0,8,200500,0,0,0,0,0,0,0
"5925",236108,62,1,1,1,200500,0,0,0,0,0,0,0
"5927",236117,40,6,0,11,109100,1,0,0,0,0,0,1
"5928",236158,61,6,1,1,99900,0,0,0,0,0,0,0
"5931",236169,25,1,1,1,192290,0,0,0,0,0,0,0
"5932",236253,56,1,1,1,30000,0,0,0,0,0,0,0
"5933",236308,58,1,1,1,26000,0,0,0,0,0,0,0
"5934",236471,40,3,0,10,252300,0,0,0,0,0,0,0
"5937",236540,50,1,1,1,69000,0,0,0,0,0,0,0
"5938",236572,52,1,1,1,34000,0,0,0,0,0,0,0
"5939",236605,59,1,1,1,80000,0,0,0,0,0,0,0
"5940",236605,29,1,1,1,80000,0,0,0,0,0,0,0
"5941",236607,29,1,1,1,95000,0,0,0,0,0,0,0
"5942",236639,29,1,1,1,107600,0,0,0,0,0,0,0
"5944",236639,58,6,1,1,107600,0,0,0,0,0,0,0
"5945",236639,33,1,0,11,107600,1,0,0,0,0,0,1
"5946",236640,58,1,1,1,341600,0,0,0,0,0,0,0
"5947",236640,52,3,1,1,341600,0,0,0,0,0,0,0
"5948",236640,23,1,1,1,341600,0,0,0,0,0,0,0
"5949",236642,50,2,1,1,54800,0,0,0,0,0,0,0
"5950",236642,29,1,1,1,54800,0,0,0,0,0,0,0
"5951",236687,49,1,0,2,91300,1,1,0,0,0,0,0
"5952",236788,62,1,1,1,166000,0,0,0,0,0,0,0
"5954",236802,53,1,1,1,916000,0,0,0,0,0,0,0
"5955",236802,53,1,1,1,916000,0,0,0,0,0,0,0
"5956",236846,64,1,1,1,38900,0,0,0,0,0,0,0
"5957",236866,65,1,1,1,84500,0,0,0,0,0,0,0
"5958",236893,58,3,1,1,135200,0,0,0,0,0,0,0
"5959",236919,60,1,1,1,125600,0,0,0,0,0,0,0
"5960",236919,24,3,1,1,125600,0,0,0,0,0,0,0
